index,section_id,direction,point_time,traffic_flow_total,avg_speed_car,time_calc,if_next_time,hour_minutes_sin,hour_minutes_cos
2686128,G1001-7,下行,2021-01-01 00:15:00,86,96,20210101001500,1,0.0196336924606283,0.9998072404820648
646493,G1001-7,下行,2021-01-01 00:30:00,78,91,20210101003000,1,0.03925981575906861,0.9992290362407229
5037642,G1001-7,下行,2021-01-01 00:45:00,66,94,20210101004500,1,0.05887080365118903,0.9982656101847159
206516,G1001-7,下行,2021-01-01 01:00:00,56,94,20210101010000,1,0.1305261922200516,0.9914448613738104
5012069,G1001-7,下行,2021-01-01 01:15:00,61,94,20210101011500,1,0.149966755554045,0.9886910398241674
4119274,G1001-7,下行,2021-01-01 01:30:00,55,87,20210101013000,1,0.16934950384902459,0.9855560590580777
694639,G1001-7,下行,2021-01-01 01:45:00,44,84,20210101014500,1,0.18866696468655522,0.9820411276703039
3050160,G1001-7,下行,2021-01-01 02:00:00,50,87,20210101020000,1,0.2588190451025208,0.9659258262890683
6699705,G1001-7,下行,2021-01-01 02:15:00,60,88,20210101021500,1,0.2777338458812922,0.9606580613579353
6787665,G1001-7,下行,2021-01-01 02:30:00,71,87,20210101023000,1,0.296541574975571,0.9550199444571866
4559770,G1001-7,下行,2021-01-01 02:45:00,51,81,20210101024500,1,0.31523498164776964,0.949013649188214
1450818,G1001-7,下行,2021-01-01 03:00:00,49,80,20210101030000,1,0.3826834323650898,0.9238795325112867
8151368,G1001-7,下行,2021-01-01 03:15:00,50,81,20210101031500,1,0.40074883310314097,0.916187957117136
5836964,G1001-7,下行,2021-01-01 03:30:00,57,75,20210101033000,1,0.418659737537428,0.9081431738250814
3101897,G1001-7,下行,2021-01-01 03:45:00,80,76,20210101034500,1,0.43640924067334214,0.8997482840522214
2800226,G1001-7,下行,2021-01-01 04:00:00,71,65,20210101040000,1,0.5,0.8660254037844386
1123485,G1001-7,下行,2021-01-01 04:15:00,58,81,20210101041500,1,0.5169068966820275,0.8560416229147715
3843438,G1001-7,下行,2021-01-01 04:30:00,45,74,20210101043000,1,0.5336145159156115,0.8457278217039733
239703,G1001-7,下行,2021-01-01 04:45:00,44,87,20210101044500,1,0.5501164165954933,0.8350879763187431
6604072,G1001-7,下行,2021-01-01 05:00:00,59,91,20210101050000,1,0.6087614290087205,0.7933533402912353
1319574,G1001-7,下行,2021-01-01 05:15:00,63,89,20210101051500,1,0.6242205399450177,0.7812481792047585
4753565,G1001-7,下行,2021-01-01 05:30:00,74,88,20210101053000,1,0.6394390019805848,0.7688418320734595
4611920,G1001-7,下行,2021-01-01 05:45:00,87,91,20210101054500,1,0.6544109481086103,0.7561390817803227
3521433,G1001-7,下行,2021-01-01 06:00:00,75,93,20210101060000,1,0.7071067811865476,0.7071067811865476
4164932,G1001-7,下行,2021-01-01 06:15:00,63,99,20210101061500,1,0.7208535967029188,0.6930873625456359
3696685,G1001-7,下行,2021-01-01 06:30:00,3,100,20210101063000,1,0.7343225094356856,0.6788007455329418
635377,G1001-7,下行,2021-01-01 06:45:00,30,100,20210101064500,1,0.7475083268625967,0.6642524379112817
8440806,G1001-7,下行,2021-01-01 07:00:00,2,100,20210101070000,1,0.7933533402912352,0.6087614290087207
6555332,G1001-7,下行,2021-01-01 07:15:00,2,100,20210101071500,1,0.8051526485628583,0.5930676289532371
8018494,G1001-7,下行,2021-01-01 07:30:00,2,100,20210101073000,1,0.8166415551616789,0.5771451900372336
2801882,G1001-7,下行,2021-01-01 07:45:00,8,100,20210101074500,1,0.8278156308955021,0.5610002506640098
6219863,G1001-7,下行,2021-01-01 08:00:00,11,100,20210101080000,1,0.8660254037844387,0.4999999999999999
6422107,G1001-7,下行,2021-01-01 08:15:00,1,100,20210101081500,1,0.8756753153753997,0.4829003438000373
4380522,G1001-7,下行,2021-01-01 08:30:00,2,100,20210101083000,1,0.8849876374630418,0.4656145203251115
8358100,G1001-7,下行,2021-01-01 08:45:00,3,100,20210101084500,1,0.8939587799699321,0.44814919358922256
5902341,G1001-7,下行,2021-01-01 09:00:00,2,100,20210101090000,1,0.9238795325112867,0.38268343236508984
7913529,G1001-7,下行,2021-01-01 09:15:00,9,100,20210101091500,1,0.9312149347588035,0.3644704998791498
1737261,G1001-7,下行,2021-01-01 09:30:00,7,100,20210101093000,1,0.9381913359224842,0.346117057077493
7534830,G1001-7,下行,2021-01-01 09:45:00,16,100,20210101094500,1,0.9448060464668779,0.32763017956169366
5312216,G1001-7,下行,2021-01-01 10:00:00,2,100,20210101100000,1,0.9659258262890682,0.25881904510252096
8103598,G1001-7,下行,2021-01-01 10:15:00,1,100,20210101101500,1,0.9708212084269281,0.2398044646550164
3949558,G1001-7,下行,2021-01-01 10:30:00,5,100,20210101103000,1,0.9753423205085127,0.22069743502150108
5842932,G1001-7,下行,2021-01-01 10:45:00,8,100,20210101104500,1,0.9794874195590514,0.20150532232561721
2004313,G1001-7,下行,2021-01-01 11:00:00,3,100,20210101110000,1,0.9914448613738104,0.1305261922200515
6011762,G1001-7,下行,2021-01-01 11:15:00,1,100,20210101111500,1,0.9938164620563781,0.1110353085542777
7450836,G1001-7,下行,2021-01-01 11:30:00,8,100,20210101113000,1,0.9958049275746618,0.09150161866340252
5392156,G1001-7,下行,2021-01-01 11:45:00,15,100,20210101114500,1,0.9974094913373519,0.07193265315671941
3481654,G1001-7,下行,2021-01-01 12:00:00,5,100,20210101120000,1,1.0,6.123233995736766e-17
1858429,G1001-7,下行,2021-01-01 12:15:00,16,100,20210101121500,1,0.9998072404820648,-0.01963369246062813
7410831,G1001-7,下行,2021-01-01 12:30:00,16,100,20210101123000,1,0.9992290362407229,-0.03925981575906855
4057837,G1001-7,下行,2021-01-01 12:45:00,6,100,20210101124500,1,0.9982656101847159,-0.05887080365118886
