index,section_id,direction,point_time,traffic_flow_total,avg_speed_car,time_calc,if_next_time,hour_minutes_sin,hour_minutes_cos
505448,S15-1,上行,2021-01-01 00:15:00,29,100,20210101001500,1,0.0196336924606283,0.9998072404820648
6502228,S15-1,上行,2021-01-01 00:30:00,30,95,20210101003000,1,0.03925981575906861,0.9992290362407229
7047296,S15-1,上行,2021-01-01 00:45:00,18,90,20210101004500,1,0.05887080365118903,0.9982656101847159
7354780,S15-1,上行,2021-01-01 01:00:00,30,94,20210101010000,1,0.1305261922200516,0.9914448613738104
7354136,S15-1,上行,2021-01-01 01:15:00,37,96,20210101011500,1,0.149966755554045,0.9886910398241674
1667991,S15-1,上行,2021-01-01 01:30:00,18,91,20210101013000,1,0.16934950384902459,0.9855560590580777
3674576,S15-1,上行,2021-01-01 01:45:00,32,93,20210101014500,1,0.18866696468655522,0.9820411276703039
3730019,S15-1,上行,2021-01-01 02:00:00,34,92,20210101020000,1,0.2588190451025208,0.9659258262890683
7931506,S15-1,上行,2021-01-01 02:15:00,26,86,20210101021500,1,0.2777338458812922,0.9606580613579353
480103,S15-1,上行,2021-01-01 02:30:00,38,89,20210101023000,1,0.296541574975571,0.9550199444571866
5024711,S15-1,上行,2021-01-01 02:45:00,25,67,20210101024500,1,0.31523498164776964,0.949013649188214
7985843,S15-1,上行,2021-01-01 03:00:00,28,73,20210101030000,1,0.3826834323650898,0.9238795325112867
930186,S15-1,上行,2021-01-01 03:15:00,32,77,20210101031500,1,0.40074883310314097,0.916187957117136
3016638,S15-1,上行,2021-01-01 03:30:00,28,83,20210101033000,1,0.418659737537428,0.9081431738250814
5280542,S15-1,上行,2021-01-01 03:45:00,19,70,20210101034500,1,0.43640924067334214,0.8997482840522214
3806225,S15-1,上行,2021-01-01 04:00:00,17,58,20210101040000,1,0.5,0.8660254037844386
4051006,S15-1,上行,2021-01-01 04:15:00,23,73,20210101041500,1,0.5169068966820275,0.8560416229147715
7281317,S15-1,上行,2021-01-01 04:30:00,22,80,20210101043000,1,0.5336145159156115,0.8457278217039733
5344791,S15-1,上行,2021-01-01 04:45:00,19,63,20210101044500,1,0.5501164165954933,0.8350879763187431
5336800,S15-1,上行,2021-01-01 05:00:00,31,83,20210101050000,1,0.6087614290087205,0.7933533402912353
2924455,S15-1,上行,2021-01-01 05:15:00,26,84,20210101051500,1,0.6242205399450177,0.7812481792047585
2957506,S15-1,上行,2021-01-01 05:30:00,33,87,20210101053000,1,0.6394390019805848,0.7688418320734595
5061478,S15-1,上行,2021-01-01 05:45:00,30,86,20210101054500,1,0.6544109481086103,0.7561390817803227
5391617,S15-1,上行,2021-01-01 06:00:00,34,88,20210101060000,1,0.7071067811865476,0.7071067811865476
2822371,S15-1,上行,2021-01-01 06:15:00,36,89,20210101061500,1,0.7208535967029188,0.6930873625456359
6584344,S15-1,上行,2021-01-01 06:30:00,18,70,20210101063000,1,0.7343225094356856,0.6788007455329418
1463323,S15-1,上行,2021-01-01 06:45:00,9,51,20210101064500,1,0.7475083268625967,0.6642524379112817
3208590,S15-1,上行,2021-01-01 07:00:00,11,67,20210101070000,1,0.7933533402912352,0.6087614290087207
1932770,S15-1,上行,2021-01-01 07:15:00,6,26,20210101071500,1,0.8051526485628583,0.5930676289532371
3988421,S15-1,上行,2021-01-01 07:30:00,6,26,20210101073000,1,0.8166415551616789,0.5771451900372336
3725850,S15-1,上行,2021-01-01 07:45:00,6,26,20210101074500,1,0.8278156308955021,0.5610002506640098
8240910,S15-1,上行,2021-01-01 08:00:00,17,79,20210101080000,1,0.8660254037844387,0.4999999999999999
3673326,S15-1,上行,2021-01-01 08:15:00,6,26,20210101081500,1,0.8756753153753997,0.4829003438000373
4272040,S15-1,上行,2021-01-01 08:30:00,11,63,20210101083000,1,0.8849876374630418,0.4656145203251115
1139974,S15-1,上行,2021-01-01 08:45:00,9,51,20210101084500,1,0.8939587799699321,0.44814919358922256
7976981,S15-1,上行,2021-01-01 09:00:00,8,51,20210101090000,1,0.9238795325112867,0.38268343236508984
1780147,S15-1,上行,2021-01-01 09:15:00,12,67,20210101091500,1,0.9312149347588035,0.3644704998791498
1829635,S15-1,上行,2021-01-01 09:30:00,8,51,20210101093000,1,0.9381913359224842,0.346117057077493
8336329,S15-1,上行,2021-01-01 09:45:00,16,79,20210101094500,1,0.9448060464668779,0.32763017956169366
