flow,speed,time
8.0,100.0,2021-01-17 00:15:00
10.0,92.0,2021-01-17 00:30:00
21.0,85.0,2021-01-17 00:45:00
14.0,81.0,2021-01-17 01:00:00
10.0,51.0,2021-01-17 01:15:00
11.0,60.0,2021-01-17 01:30:00
16.0,47.0,2021-01-17 01:45:00
15.0,46.0,2021-01-17 02:00:00
16.0,41.0,2021-01-17 02:15:00
23.0,62.0,2021-01-17 02:30:00
18.0,53.0,2021-01-17 02:45:00
25.0,45.0,2021-01-17 03:00:00
10.0,40.0,2021-01-17 03:15:00
14.0,50.0,2021-01-17 03:30:00
16.0,41.0,2021-01-17 03:45:00
11.0,28.0,2021-01-17 04:00:00
14.0,10.0,2021-01-17 04:15:00
10.0,23.0,2021-01-17 04:30:00
6.0,7.0,2021-01-17 04:45:00
14.0,48.0,2021-01-17 05:00:00
11.0,48.0,2021-01-17 05:15:00
8.0,38.0,2021-01-17 05:30:00
12.0,54.0,2021-01-17 05:45:00
15.0,62.0,2021-01-17 06:00:00
22.0,79.0,2021-01-17 06:15:00
9.0,54.0,2021-01-17 06:30:00
9.0,69.0,2021-01-17 06:45:00
8.0,81.0,2021-01-17 07:00:00
15.0,76.0,2021-01-17 07:15:00
24.0,78.0,2021-01-17 07:30:00
22.0,64.0,2021-01-17 07:45:00
23.0,64.0,2021-01-17 08:00:00
23.0,82.0,2021-01-17 08:15:00
28.0,83.0,2021-01-17 08:30:00
17.0,60.0,2021-01-17 08:45:00
36.0,86.0,2021-01-17 09:00:00
32.0,76.0,2021-01-17 09:15:00
25.0,72.0,2021-01-17 09:30:00
26.0,84.0,2021-01-17 09:45:00
28.0,77.0,2021-01-17 10:00:00
33.0,82.0,2021-01-17 10:15:00
34.0,75.0,2021-01-17 10:30:00
32.0,76.0,2021-01-17 10:45:00
26.0,69.0,2021-01-17 11:00:00
41.0,81.0,2021-01-17 11:15:00
48.0,82.0,2021-01-17 11:30:00
32.0,75.0,2021-01-17 11:45:00
23.0,53.0,2021-01-17 12:00:00
9.0,6.0,2021-01-17 12:15:00
11.0,36.0,2021-01-17 12:30:00
15.0,54.0,2021-01-17 12:45:00
11.0,27.0,2021-01-17 13:00:00
10.0,18.0,2021-01-17 13:15:00
11.0,27.0,2021-01-17 13:30:00
39.0,73.0,2021-01-17 13:45:00
46.0,80.0,2021-01-17 14:00:00
43.0,80.0,2021-01-17 14:15:00
44.0,79.0,2021-01-17 14:30:00
57.0,80.0,2021-01-17 14:45:00
53.0,78.0,2021-01-17 15:00:00
39.0,78.0,2021-01-17 15:15:00
44.0,79.0,2021-01-17 15:30:00
42.0,80.0,2021-01-17 15:45:00
44.0,77.0,2021-01-17 16:00:00
41.0,79.0,2021-01-17 16:15:00
37.0,80.0,2021-01-17 16:30:00
40.0,83.0,2021-01-17 16:45:00
24.0,71.0,2021-01-17 17:00:00
7.0,19.0,2021-01-17 17:15:00
8.0,42.0,2021-01-17 17:30:00
11.0,49.0,2021-01-17 17:45:00
14.0,62.0,2021-01-17 18:00:00
11.0,59.0,2021-01-17 18:15:00
20.0,69.0,2021-01-17 18:30:00
9.0,60.0,2021-01-17 18:45:00
11.0,65.0,2021-01-17 19:00:00
34.0,89.0,2021-01-17 19:15:00
20.0,85.0,2021-01-17 19:30:00
14.0,83.0,2021-01-17 19:45:00
12.0,74.0,2021-01-17 20:00:00
13.0,80.0,2021-01-17 20:15:00
8.0,85.0,2021-01-17 20:30:00
20.0,95.0,2021-01-17 20:45:00
16.0,101.0,2021-01-17 21:00:00
26.0,96.0,2021-01-17 21:15:00
16.0,90.0,2021-01-17 21:30:00
2.0,52.0,2021-01-17 21:45:00
7.0,76.0,2021-01-17 22:00:00
4.0,57.0,2021-01-17 22:15:00
4.0,57.0,2021-01-17 22:30:00
2.0,57.0,2021-01-17 22:45:00
9.0,78.0,2021-01-17 23:00:00
9.0,78.0,2021-01-17 23:15:00
7.0,57.0,2021-01-17 23:30:00
9.0,86.0,2021-01-17 23:45:00
1.0,100.0,2021-01-18 00:00:00
4.0,100.0,2021-01-18 00:15:00
7.0,100.0,2021-01-18 00:30:00
8.0,100.0,2021-01-18 00:45:00
15.0,98.0,2021-01-18 01:00:00
15.0,79.0,2021-01-18 01:15:00
16.0,84.0,2021-01-18 01:30:00
21.0,75.0,2021-01-18 01:45:00
16.0,67.0,2021-01-18 02:00:00
15.0,41.0,2021-01-18 02:15:00
21.0,63.0,2021-01-18 02:30:00
23.0,61.0,2021-01-18 02:45:00
19.0,58.0,2021-01-18 03:00:00
12.0,23.0,2021-01-18 03:15:00
13.0,48.0,2021-01-18 03:30:00
16.0,58.0,2021-01-18 03:45:00
12.0,40.0,2021-01-18 04:00:00
11.0,13.0,2021-01-18 04:15:00
15.0,13.0,2021-01-18 04:30:00
12.0,25.0,2021-01-18 04:45:00
10.0,40.0,2021-01-18 05:00:00
13.0,19.0,2021-01-18 05:15:00
15.0,2.0,2021-01-18 05:30:00
11.0,44.0,2021-01-18 05:45:00
12.0,51.0,2021-01-18 06:00:00
11.0,35.0,2021-01-18 06:15:00
16.0,64.0,2021-01-18 06:30:00
17.0,51.0,2021-01-18 06:45:00
15.0,51.0,2021-01-18 07:00:00
16.0,44.0,2021-01-18 07:15:00
26.0,66.0,2021-01-18 07:30:00
21.0,57.0,2021-01-18 07:45:00
18.0,37.0,2021-01-18 08:00:00
25.0,47.0,2021-01-18 08:15:00
32.0,49.0,2021-01-18 08:30:00
40.0,50.0,2021-01-18 08:45:00
37.0,51.0,2021-01-18 09:00:00
37.0,51.0,2021-01-18 09:15:00
30.0,50.0,2021-01-18 09:30:00
29.0,38.0,2021-01-18 09:45:00
34.0,45.0,2021-01-18 10:00:00
39.0,58.0,2021-01-18 10:15:00
34.0,56.0,2021-01-18 10:30:00
34.0,57.0,2021-01-18 10:45:00
33.0,50.0,2021-01-18 11:00:00
43.0,62.0,2021-01-18 11:15:00
39.0,52.0,2021-01-18 11:30:00
42.0,59.0,2021-01-18 11:45:00
47.0,56.0,2021-01-18 12:00:00
43.0,56.0,2021-01-18 12:15:00
43.0,50.0,2021-01-18 12:30:00
45.0,57.0,2021-01-18 12:45:00
57.0,64.0,2021-01-18 13:00:00
51.0,57.0,2021-01-18 13:15:00
54.0,59.0,2021-01-18 13:30:00
44.0,55.0,2021-01-18 13:45:00
53.0,53.0,2021-01-18 14:00:00
54.0,53.0,2021-01-18 14:15:00
51.0,56.0,2021-01-18 14:30:00
58.0,64.0,2021-01-18 14:45:00
74.0,79.0,2021-01-18 15:00:00
47.0,60.0,2021-01-18 15:15:00
44.0,67.0,2021-01-18 15:30:00
43.0,74.0,2021-01-18 15:45:00
35.0,64.0,2021-01-18 16:00:00
34.0,55.0,2021-01-18 16:15:00
50.0,72.0,2021-01-18 16:30:00
50.0,73.0,2021-01-18 16:45:00
36.0,61.0,2021-01-18 17:00:00
37.0,51.0,2021-01-18 17:15:00
48.0,68.0,2021-01-18 17:30:00
50.0,75.0,2021-01-18 17:45:00
41.0,63.0,2021-01-18 18:00:00
46.0,60.0,2021-01-18 18:15:00
